coluna,valor,n,pct
TIPOBITO,2,148785,100.0
SEXO,2,148785,100.0
RACACOR,1,68749,46.207
RACACOR,4,61386,41.258
RACACOR,2,12564,8.444
RACACOR,9,4689,3.152
RACACOR,3,768,0.516
RACACOR,5,629,0.423
ESTCIV,1,47431,31.879
ESTCIV,2,42987,28.892
ESTCIV,3,32170,21.622
ESTCIV,9,15337,10.308
ESTCIV,4,10860,7.299
ESC,2,32777,22.03
ESC,3,32622,21.926
ESC,4,28666,19.267
ESC,9,23412,15.735
ESC,1,21407,14.388
ESC,5,9901,6.655
ESC2010,1.0,39374,26.464
ESC2010,,24446,16.43
ESC2010,2.0,23262,15.635
ESC2010,3.0,21602,14.519
ESC2010,0.0,18352,12.335
ESC2010,9.0,12713,8.545
ESC2010,5.0,7517,5.052
ESC2010,4.0,1519,1.021
SERIESCFAL,,122003,82.0
SERIESCFAL,4.0,10704,7.194
SERIESCFAL,3.0,6320,4.248
SERIESCFAL,8.0,5068,3.406
SERIESCFAL,5.0,1545,1.038
SERIESCFAL,2.0,1276,0.858
SERIESCFAL,1.0,1048,0.704
SERIESCFAL,6.0,428,0.288
SERIESCFAL,7.0,393,0.264
LOCOCOR,1,120038,80.679
LOCOCOR,3,22696,15.254
LOCOCOR,2,4788,3.218
LOCOCOR,5,1029,0.692
LOCOCOR,4,188,0.126
LOCOCOR,9,46,0.031
ESTABDESCR,,148782,99.998
ESTABDESCR,PRONTO SOCORRO MUNICIPAL,1,0.001
ESTABDESCR,INSTITUTO DO CANCER DO ESTADO DE SAO PAU,1,0.001
ESTABDESCR,INSTITUTO DO CANCER DR. ARNALDO VIEIRA D,1,0.001
ASSISTMED,1,94808,63.721
ASSISTMED,9,50074,33.655
ASSISTMED,2,3903,2.623
EXAME,9,140457,94.403
EXAME,1,6676,4.487
EXAME,2,1652,1.11
CIRURGIA,9,140890,94.694
CIRURGIA,2,5956,4.003
CIRURGIA,1,1939,1.303
NECROPSIA,2,102644,68.988
NECROPSIA,9,43328,29.121
NECROPSIA,1,2813,1.891
CAUSABAS,C539,85903,57.736
CAUSABAS,C55,30345,20.395
CAUSABAS,C541,21279,14.302
CAUSABAS,C538,5465,3.673
CAUSABAS,C549,3931,2.642
CAUSABAS,C530,676,0.454
CAUSABAS,C548,630,0.423
CAUSABAS,C531,243,0.163
CAUSABAS,C540,127,0.085
CAUSABAS,C542,115,0.077
CAUSABAS,C543,71,0.048
causabas_categoria,C53   Neopl malig do colo do utero,92287,62.027
causabas_categoria,C55   Neopl malig do utero porcao NE,30345,20.395
causabas_categoria,C54   Neopl malig do corpo do utero,26153,17.578
causabas_subcategoria,C53.9 Colo do utero NE,85903,57.736
causabas_subcategoria,C55   Neopl malig do utero porcao NE,26503,17.813
causabas_subcategoria,C54.1 Endometrio,21279,14.302
causabas_subcategoria,C53.8 Lesao invasiva do colo do utero,5465,3.673
causabas_subcategoria,C54.9 Corpo do utero NE,3931,2.642
causabas_subcategoria,,3842,2.582
causabas_subcategoria,C53.0 Endocervix,676,0.454
causabas_subcategoria,C54.8 Lesao invasiva do corpo do utero,630,0.423
causabas_subcategoria,C53.1 Exocervix,243,0.163
causabas_subcategoria,C54.0 Istmo do utero,127,0.085
causabas_subcategoria,C54.2 Miometrio,115,0.077
causabas_subcategoria,C54.3 Fundo do utero,71,0.048
CAUSAMAT,,148785,100.0
ESCFALAGR1,,39957,26.856
ESCFALAGR1,10.0,21819,14.665
ESCFALAGR1,0.0,15512,10.426
ESCFALAGR1,12.0,13922,9.357
ESCFALAGR1,11.0,13644,9.17
ESCFALAGR1,9.0,10940,7.353
ESCFALAGR1,2.0,9786,6.577
ESCFALAGR1,8.0,6912,4.646
ESCFALAGR1,6.0,5052,3.396
ESCFALAGR1,4.0,4733,3.181
ESCFALAGR1,1.0,2259,1.518
ESCFALAGR1,3.0,2143,1.44
ESCFALAGR1,7.0,1372,0.922
ESCFALAGR1,5.0,734,0.493
NUDIASINF,,148785,100.0
ALTCAUSA,,148784,99.999
ALTCAUSA,2.0,1,0.001
res_AMAZONIA,N,126701,85.157
res_AMAZONIA,S,22084,14.843
res_FRONTEIRA,N,140106,94.167
res_FRONTEIRA,S,8679,5.833
res_CAPITAL,N,106812,71.789
res_CAPITAL,S,41973,28.211
ocor_AMAZONIA,N,126933,85.313
ocor_AMAZONIA,S,21852,14.687
ocor_FRONTEIRA,N,140647,94.53
ocor_FRONTEIRA,S,8138,5.47
ocor_CAPITAL,N,80161,53.877
ocor_CAPITAL,S,68624,46.123
ocor_REGIAO,Sudeste,59254,39.825
ocor_REGIAO,Nordeste,41770,28.074
ocor_REGIAO,Sul,22412,15.063
ocor_REGIAO,Norte,14731,9.901
ocor_REGIAO,Centro-Oeste,10618,7.136
res_REGIAO,Sudeste,58847,39.552
res_REGIAO,Nordeste,41922,28.176
res_REGIAO,Sul,22352,15.023
res_REGIAO,Norte,14940,10.041
res_REGIAO,Centro-Oeste,10724,7.208
label_cid,C53,92287,62.027
label_cid,C55,30345,20.395
label_cid,C54,26153,17.578
