,count,mean,std,min,25%,50%,75%,max
TIPOBITO,148785.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
DTOBITO,148785.0,15807439.344476929,8794495.453112388,1012010.0,8082023.0,16032022.0,23102024.0,31122024.0
NATURAL,118074.0,825.1162660704304,62.66265597020141,4.0,825.0,831.0,835.0,999.0
CODMUNNATU,107969.0,308679.3790161991,90915.09206996103,110000.0,250400.0,312270.0,354910.0,539924.0
DTNASC,148729.0,15402726.376550639,8723052.38978354,1011917.0,8051970.0,15081943.0,23041967.0,31121998.0
idade_obito_anos,148774.0,60.00264831220509,16.002275317588865,11.0,48.0,60.0,72.0,114.0
SEXO,148785.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
RACACOR,148785.0,2.6015458547568637,1.8270250452595864,1.0,1.0,2.0,4.0,9.0
ESTCIV,148785.0,2.7649830292032127,2.300610377330062,1.0,1.0,2.0,3.0,9.0
ESC,148785.0,3.761830829720738,2.5177537119782882,1.0,2.0,3.0,4.0,9.0
ESC2010,124339.0,2.4833881565719524,2.5397108894130342,0.0,1.0,2.0,3.0,9.0
SERIESCFAL,26782.0,4.441938615488015,1.9659475003713076,1.0,3.0,4.0,5.0,8.0
OCUP,130484.0,803207.7620704455,266745.2482530799,10210.0,524205.0,999992.0,999992.0,999995.0
CODMUNRES,148785.0,319629.47705749905,96370.72151845432,110001.0,260590.0,330170.0,355030.0,530010.0
LOCOCOR,148785.0,1.3711933326612227,0.8039806742789977,1.0,1.0,1.0,1.0,9.0
CODESTAB,124822.0,2661809.4950970183,1839348.265343477,18.0,2080273.0,2315793.0,2708779.0,9999998.0
CODMUNOCOR,148785.0,320006.7433074571,96116.84684455965,110001.0,261070.0,330330.0,355030.0,530010.0
ASSISTMED,148785.0,3.7186544342507646,3.7649198435688653,1.0,1.0,1.0,9.0,9.0
EXAME,148785.0,8.563316194508856,1.7958497947504042,1.0,9.0,9.0,9.0,9.0
CIRURGIA,148785.0,8.615525758645024,1.62719847126533,1.0,9.0,9.0,9.0,9.0
NECROPSIA,148785.0,4.019578586551064,3.1952578714729447,1.0,2.0,2.0,9.0,9.0
COMUNSVOIM,5139.0,319019.25861062465,101597.76993771427,110002.0,230440.0,310620.0,355030.0,530010.0
CAUSAMAT,0.0,,,,,,,
ESCFALAGR1,108828.0,7.166096960341089,4.266876163821201,0.0,2.0,9.0,11.0,12.0
NUDIASOBCO,28628.0,79.12714824647199,87.81353224490653,0.0,25.0,54.0,101.0,794.0
NUDIASINF,0.0,,,,,,,
ALTCAUSA,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
ocor_CODIGO_UF,148785.0,31.84517928554626,9.58471094765894,11.0,26.0,33.0,35.0,53.0
